college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,中國文學系,國文,前標,3,英文,均標,6,數學B,均標,--,社會,均標,8,,,,*1.50,*1.00,--,*1.00,,40%,審查資料,70分,40%,語文測驗筆試,--,20%,寫作筆試,--,15%,,,,,,,一、學科能力測驗成績二、語文測驗筆試三、寫作筆試,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測社會級分,1
國立臺灣師範大學,國文學系,國文,頂標,2,英文,前標,--,社會,前標,--,國英社,--,3,,,,*2.00,*1.50,*1.00,--,,40%,審查資料,--,40%,語文能力測驗筆試,--,30%,,,,,,,,,,一、語文能力測驗筆試二、審查資料三、學測國文級分四、學測國英社級分總和,項目：修課紀錄(A)、多元表現(F、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
國立中興大學,中國文學系,國文,均標,3,英文,均標,6,社會,--,--,英聽,B級,--,,,,*1.50,*1.25,*1.25,--,,40%,審查資料,--,40%,國文能力測驗,--,30%,,,,,,,,,,一、國文能力測驗二、學測國文級分三、審查資料四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q)、其他(R.自傳) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測英文級分,1
國立成功大學,中國文學系,國文,頂標,3.0,英文,均標,10.0,社會,前標,10.0,,,,,,,*1.50,*1.00,*1.00,,,50%,審查資料,--,50%,語文能力測驗,--,20%,,,,,,,,,,一、語文能力測驗二、審查資料三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
東吳大學,中國文學系,國文,均標,3,英文,--,--,社會,後標,4,,,,,,,*2.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測國文級分二、面試三、審查資料四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文、社會之級分總和,1
國立政治大學,中國文學系,國文,頂標,3,英文,前標,5,數學B,--,--,社會,前標,6,,,,*1.50,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、面試三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測社會級分,1
東海大學,中國文學系,國文,均標,5,社會,--,--,國社,--,3,,,,,,,*2.00,*1.50,--,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測國文級分二、審查資料三、面試四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、M、N)、學習歷程自述(O、P) ,一、學測國文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
國立清華大學,中國文學系甲組(一般組),國文,頂標,3,英文,前標,6,數學B,均標,--,社會,前標,8,,,,*1.00,*1.00,--,*1.00,,40%,審查資料,--,40%,語文能力測驗,--,30%,,,,,,,,,,一、語文能力測驗二、學測國英數B社級分總和,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測國文級分,1
國立清華大學,中國文學系乙組(華語文教學組),國文,頂標,3.0,英文,前標,6.0,數學B,均標,12.0,社會,前標,8.0,,,,*1.00,*1.00,--,*1.00,,40%,審查資料,--,40%,口試,--,35%,,,,,,,,,,一、口試二、學測國英數B社級分總和,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測國文級分,1
淡江大學,中國文學學系,國文,均標,3.0,社會,--,5.0,,,,,,,,,,*1.50,*1.00,,,,30%,審查資料,--,30%,面試,--,35%,,,,,,,,,,一、學測國文級分二、學測社會級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、M、N)、學習歷程自述(P、Q)、其他(R.文學作品或研究小論文) ,一、學測國文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
逢甲大學,中國文學系,國文,均標,3,英文,後標,--,社會,--,--,國英社,--,5,,,,*2.00,*1.00,*1.50,--,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、學測國文級分二、面試三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.作品成果集、S.參展心得與證明、T.多元或跨域學習成果) ,一、學測國文、英文、社會之級分總和,1
國立中央大學,中國文學系,國文,前標,3,英文,均標,5,社會,均標,--,,,,,,,*2.00,*1.50,*1.50,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測國文級分二、面試三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和,1
中國文化大學,中國文學系中國文學組,國文,後標,3.0,英文,--,5.0,,,,,,,,,,*1.00,*1.00,,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、審查資料二、學測國文級分三、學測英文級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測國文級分,1
中國文化大學,中國文學系文藝創作組,國文,後標,3.0,英文,--,5.0,,,,,,,,,,*1.00,*1.00,,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、審查資料二、學測國文級分三、學測英文級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q)、其他(R.文藝創作作品(選繳)) ,一、學測國文、英文之級分總和　二、學測國文級分,1
靜宜大學,中國文學系,國文,後標,3,英文,--,--,社會,--,--,,,,,,,*1.25,*1.00,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測國文級分二、面試三、學測社會級分,項目：修課紀錄(A)、多元表現(F、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
輔仁大學,中國文學系,國文,均標,7,英文,--,--,社會,--,--,國社,--,3,,,,*1.50,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測國文級分二、面試三、審查資料四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、N) ,一、學測國文、英文、社會之級分總和,1
國立高雄師範大學,國文學系,國文,前標,2.5,英文,--,12.0,社會,均標,10.0,,,,,,,*2.00,*1.00,*1.00,,,30%,審查資料,--,30%,語文能力測驗,--,20%,面試,--,20%,,,,,,,一、學測國文級分二、語文能力測驗三、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.有利審查資料) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分　四、學測英文級分,1
國立彰化師範大學,國文學系,國文,前標,3,英文,均標,6,社會,均標,--,,,,,,,*1.50,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、面試三、審查資料四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測社會級分,1
國立中山大學,中國文學系,國文,前標,3.0,英文,均標,10.0,社會,均標,10.0,,,,,,,*2.00,*1.00,*1.00,,,40%,審查資料,--,40%,,,,,,,,,,,,,一、審查資料二、學測國文級分三、學測社會級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分　四、學測英文級分,1
