college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select
世新大學,資訊管理學系智慧網路應用組,國文,底標,3.0,數學B,後標,6.0,,,,,,,,,,*2.00,*1.75,,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測數學B級分二、面試三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(Q)、其他(R.其他有利審查資料) ,一、學測國文、數學B之級分總和
實踐大學,資訊管理學系物聯網應用組(高雄校區),自然,底標,4.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、K、M、N)、學習歷程自述(P、Q) ,一、學測自然級分
真理大學,資訊管理學系資管應用組,國文,底標,3.0,英文,--,3.0,社會,--,3.0,,,,,,,*2.00,*1.00,*1.00,,,10%,審查資料,--,10%,面試,--,45%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和
世新大學,資訊管理學系資訊科技組,國文,底標,3.0,英文,底標,5.0,數學B,後標,6.0,,,,,,,*2.00,*1.75,*1.75,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測數學B級分二、面試三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和
國立彰化師範大學,資訊管理學系資訊管理組,國文,均標,3.0,英文,均標,6.0,數學B,均標,5.0,國英數B,--,7.0,,,,*1.00,*2.00,*2.00,--,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、學測國文級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、其他(R.個人資料表) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分
世新大學,資訊管理學系資訊管理組,國文,底標,3.0,英文,底標,5.0,數學B,後標,6.0,,,,,,,*2.00,*1.75,*1.75,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測數學B級分二、面試三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和
銘傳大學,資訊管理學系雲端技術管理組（桃園校區）,國文,底標,3.0,英文,底標,3.0,,,,,,,,,,*1.00,*1.00,,,,30%,審查資料,--,30%,面試,70分,40%,,,,,,,,,,一、學測國英級分總和二、學測國文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文之級分總和　二、學測國文級分
真理大學,資訊管理學系電商行銷組,國文,--,3.5,英文,--,3.5,社會,底標,3.5,,,,,,,*1.00,*1.00,*2.00,,,10%,審查資料,--,10%,面試,--,45%,,,,,,,,,,一、面試二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和
銘傳大學,資訊管理學系電子商務管理組（桃園校區）,國文,底標,3.0,社會,底標,3.0,,,,,,,,,,*1.00,*1.00,,,,30%,審查資料,--,30%,面試,70分,40%,,,,,,,,,,一、學測國社級分總和二、學測國文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、社會之級分總和　二、學測國文級分
國立中央大學,資訊管理學系（APCS組）,國文,均標,--,英文,前標,10,數學A,前標,12,自然,均標,--,,,,*1.00,*1.50,*1.50,*1.00,,30%,審查資料,--,30%,,,,,,,,,,,,,程式設計觀念題程式設計實作題,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、數學A、自然之級分總和
