國立臺灣大學,動物科學技術學系,項目：修課紀錄 ( B )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,農業經濟學系,項目：基本資料 ( A )、修課紀錄 ( B )、課程學習成果 ( D )、多元表現 ( M )、學習歷程自述 ( N )、其他 ( Q.英文外之語文檢定證明 ) 
國立臺灣大學,園藝暨景觀學系,項目：修課紀錄 ( B )、課程學習成果 ( C )、多元表現 ( H、I )、學習歷程自述 ( N、O ) 
國立臺灣大學,獸醫學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( K )、學習歷程自述 ( N、O )、其他 ( Q.詳如說明 ) 
國立臺灣大學,生物產業傳播暨發展學系,項目：修課紀錄 ( B )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,生物機電工程學系,項目：修課紀錄 ( B )、多元表現 ( E、I )、學習歷程自述 ( N、O )、其他 ( Q.師長推薦函乙封 ) 
國立臺灣大學,昆蟲學系,項目：修課紀錄 ( B )、多元表現 ( I )、學習歷程自述 ( N ) 
國立臺灣大學,植物病理與微生物學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( I )、學習歷程自述 ( N、O ) 
國立臺灣大學,工商管理學系企業管理組,項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,工商管理學系科技管理組,項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,會計學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E、G )、學習歷程自述 ( N )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,財務金融學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,國際企業學系,項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,資訊管理學系,項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,公共衛生學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( I )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,電機工程學系,項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,資訊工程學系,項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N、O )、其他 ( Q.綜合表現、有利資料等 ) 
國立臺灣大學,資訊工程學系(APCS組),項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N、O )、其他 ( Q.綜合表現、有利資料等 ) 
國立臺灣大學,法律學系法學組,項目：修課紀錄 ( B )、多元表現 ( E、F、I )、學習歷程自述 ( N、O ) 
國立臺灣大學,法律學系司法組,項目：修課紀錄 ( B )、多元表現 ( E、F、I )、學習歷程自述 ( N、O ) 
國立臺灣大學,法律學系財經法學組,項目：修課紀錄 ( B )、多元表現 ( E、F、I )、學習歷程自述 ( N、O ) 
國立臺灣大學,生命科學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E、M )、學習歷程自述 ( N ) 
國立臺灣大學,生化科技學系,項目：修課紀錄 ( B )、課程學習成果 ( C )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,希望組甲組(文社法),項目：修課紀錄 ( B )、多元表現 ( M )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,希望組乙組(理),項目：修課紀錄 ( B )、多元表現 ( M )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,希望組丙組(生醫),項目：修課紀錄 ( B )、多元表現 ( M )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,希望組丁組(工電資),項目：修課紀錄 ( B )、多元表現 ( M )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,希望組戊組(商管),項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,希望組己組(生農),項目：修課紀錄 ( B )、多元表現 ( M )、學習歷程自述 ( N、O )、其他 ( Q.有利審查之資料 ) 
國立臺灣大學,醫學系(希望組庚組),項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E、H )、學習歷程自述 ( N )、其他 ( Q.有利審查之資料 ) 
國立臺灣師範大學,教育學系,項目：修課紀錄 ( B )、多元表現 ( E、F、G )、學習歷程自述 ( N、O ) 
國立臺灣師範大學,教育心理與輔導學系,項目：修課紀錄 ( B )、多元表現 ( F )、學習歷程自述 ( N、O )、其他 ( Q.多元文化學習相關證明 ) 
國立臺灣師範大學,社會教育學系,項目：修課紀錄 ( B )、課程學習成果 ( C )、多元表現 ( E )、學習歷程自述 ( N、O )、其他 ( Q.內容詳如以下說明 ) 
國立臺灣師範大學,社會教育學系(青年儲蓄帳戶組),項目：修課紀錄 ( B )、課程學習成果 ( C )、學習歷程自述 ( N、O )、其他 ( Q.內容詳如以下說明、R ) 
國立臺灣師範大學,健康促進與衛生教育學系,項目：修課紀錄 ( B )、多元表現 ( E、F、I )、學習歷程自述 ( N、O ) 
國立臺灣師範大學,人類發展與家庭學系家庭生活教育組,項目：修課紀錄 ( B )、學習歷程自述 ( N )、其他 ( Q.有利審查資料詳見說明 ) 
國立臺灣師範大學,人類發展與家庭學系家庭生活教育組(青年儲蓄帳戶組),項目：其他 ( Q.有利審查資料詳見說明、R ) 
國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組,項目：修課紀錄 ( B )、學習歷程自述 ( N )、其他 ( Q.有利審查資料詳見說明 ) 
國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組(青年儲蓄帳戶組),項目：其他 ( Q.有利審查資料詳見說明、R ) 
國立臺灣師範大學,公民教育與活動領導學系,項目：多元表現 ( E )、學習歷程自述 ( N )、其他 ( Q.學生事務領導表現 ) 
國立臺灣師範大學,特殊教育學系,項目：多元表現 ( F、G、K )、學習歷程自述 ( O ) 
國立臺灣師範大學,學習科學學士學位學程,項目：修課紀錄 ( B )、多元表現 ( E、F、I )、學習歷程自述 ( N、O ) 
國立臺灣師範大學,教育學院學士班,項目：修課紀錄 ( B )、課程學習成果 ( C )、多元表現 ( E、F )、學習歷程自述 ( N、O ) 
國立臺灣師範大學,教育學院學士班(青年儲蓄帳戶組),項目：修課紀錄 ( B )、課程學習成果 ( C )、多元表現 ( E )、學習歷程自述 ( N、O )、其他 ( R ) 
國立臺灣師範大學,國文學系,項目：多元表現 ( E )、學習歷程自述 ( N、O ) 
國立臺灣師範大學,英語學系,項目：修課紀錄 ( B )、多元表現 ( E、I )、學習歷程自述 ( N )、其他 ( P ) 
國立臺灣師範大學,英語學系(青年儲蓄帳戶組),項目：多元表現 ( I )、其他 ( R ) 
國立臺灣師範大學,歷史學系,項目：修課紀錄 ( B )、多元表現 ( E、F、M )、學習歷程自述 ( N、O ) 
國立臺灣師範大學,地理學系,項目：修課紀錄 ( B )、課程學習成果 ( C )、多元表現 ( E、I )、學習歷程自述 ( N、O ) 
國立臺灣師範大學,臺灣語文學系,項目：學習歷程自述 ( N、O )、其他 ( Q.其餘有利審查資料 ) 
國立臺灣師範大學,數學系,項目：修課紀錄 ( B )、多元表現 ( E、I )、其他 ( Q.其他有利於審查的資料 ) 
國立臺灣師範大學,物理學系,項目：修課紀錄 ( B )、課程學習成果 ( C、D )、多元表現 ( E、H、I ) 
國立臺灣師範大學,化學系,項目：修課紀錄 ( B )、多元表現 ( E ) 
國立臺灣師範大學,生命科學系,項目：修課紀錄 ( B )、多元表現 ( E、I ) 
國立臺灣師範大學,地球科學系,項目：修課紀錄 ( B )、多元表現 ( E )、學習歷程自述 ( N、O )、其他 ( Q.其他有利申請之資料 ) 
國立臺灣師範大學,資訊工程學系,項目：修課紀錄 ( B )、多元表現 ( E、I、L )、學習歷程自述 ( N )、其他 ( Q.有利審查文件 ) 
國立臺灣師範大學,資訊工程學系(APCS組),項目：修課紀錄 ( B )、多元表現 ( E、I、L )、學習歷程自述 ( N )、其他 ( Q.有利審查文件 ) 
國立臺灣師範大學,營養科學學士學位學程,項目：修課紀錄 ( B )、學習歷程自述 ( N )、其他 ( Q.有利審查之相關資料 ) 
國立臺灣師範大學,科技應用與人力資源發展學系,項目：修課紀錄 ( B )、多元表現 ( E )、學習歷程自述 ( N、O )、其他 ( Q.詳如說明 ) 
國立臺灣師範大學,圖文傳播學系,項目：修課紀錄 ( B )、課程學習成果 ( C )、多元表現 ( E、F、G、K ) 
國立臺灣師範大學,機電工程學系,項目：修課紀錄 ( B )、多元表現 ( E、H )、學習歷程自述 ( N、O )、其他 ( Q.請詳以下補充說明 ) 
國立臺灣師範大學,電機工程學系,項目：修課紀錄 ( B )、多元表現 ( E、I )、學習歷程自述 ( N、O )、其他 ( Q.其他特殊表現 ) 
國立臺灣師範大學,光電工程學士學位學程,項目：修課紀錄 ( B )、多元表現 ( E、I )、學習歷程自述 ( N、O )、其他 ( Q.其它有利審查資料 ) 
國立臺灣師範大學,華語文教學系應用華語文學組,項目：修課紀錄 ( B )、多元表現 ( G、I )、學習歷程自述 ( N、O )、其他 ( Q.詳如說明2 ) 
國立臺灣師範大學,東亞學系,項目：基本資料 ( A )、修課紀錄 ( B )、課程學習成果 ( C )、多元表現 ( I、K )、其他 ( Q.其他有利審查資料 ) 
國立臺灣師範大學,東亞學系(青年儲蓄帳戶組),項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( I、K )、其他 ( Q.其他有利審查資料、R ) 
國立臺灣師範大學,企業管理學系,項目：修課紀錄 ( B )、多元表現 ( E、F、I )、學習歷程自述 ( N、O ) 
國立臺灣師範大學,設計學系產品設計組,項目：修課紀錄 ( B )、多元表現 ( E、F、I )、學習歷程自述 ( N )、其他 ( Q.成果作品集 ) 
國立臺灣師範大學,不分系招生(晨光組),項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N、O )、其他 ( Q.詳說明 ) 
國立臺灣師範大學,音樂學系,項目：(無)說明：(無)
國立臺灣師範大學,表演藝術學士學位學程,項目：修課紀錄 ( B )、課程學習成果 ( C )、多元表現 ( E )、學習歷程自述 ( N、O )、其他 ( Q.表演藝術相關補充資料 ) 
國立臺灣師範大學,設計學系視覺設計組,項目：修課紀錄 ( B )、多元表現 ( E、F、I )、學習歷程自述 ( N )、其他 ( Q.成果作品集 ) 
國立臺灣師範大學,美術學系繪畫組,項目：修課紀錄 ( B )、學習歷程自述 ( N )、其他 ( Q.成果作品集及美術競賽 ) 
國立臺灣師範大學,美術學系水墨畫組,項目：修課紀錄 ( B )、學習歷程自述 ( N )、其他 ( Q.成果作品集及美術競賽 ) 
國立臺灣師範大學,體育與運動科學系,項目：修課紀錄 ( B )、多元表現 ( E、I )、學習歷程自述 ( N )、其他 ( Q.詳如說明第2項 ) 
國立中興大學,中國文學系,項目：基本資料 ( A )、修課紀錄 ( B )、課程學習成果 ( C )、學習歷程自述 ( N、O ) 
國立中興大學,外國語文學系,項目：基本資料 ( A )、修課紀錄 ( B ) 
國立中興大學,歷史學系,項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N、O ) 
國立中興大學,台灣人文創新學士學位學程,項目：基本資料 ( A )、修課紀錄 ( B )、課程學習成果 ( C )、多元表現 ( E )、學習歷程自述 ( N、O ) 
國立中興大學,財務金融學系,項目：基本資料 ( A )、修課紀錄 ( B ) 
國立中興大學,企業管理學系,項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( N、O )、其他 ( Q.有助審查學習能力證明 ) 
國立中興大學,資訊管理學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E、I、L )、學習歷程自述 ( O ) 
國立中興大學,會計學系,項目：基本資料 ( A )、修課紀錄 ( B ) 
國立中興大學,行銷學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E )、學習歷程自述 ( N、O )、其他 ( Q.個人特殊表現之資料 ) 
國立中興大學,應用經濟學系,項目：基本資料 ( A )、修課紀錄 ( B )、其他 ( Q.其他有助審查資料 ) 
國立中興大學,法律學系,項目：基本資料 ( A )、修課紀錄 ( B ) 
國立中興大學,化學系,項目：基本資料 ( A )、修課紀錄 ( B ) 
國立中興大學,物理學系一般物理組,項目：基本資料 ( A )、修課紀錄 ( B ) 
國立中興大學,物理學系光電物理組,項目：基本資料 ( A )、修課紀錄 ( B ) 
國立中興大學,應用數學系應用數學組,項目：基本資料 ( A )、修課紀錄 ( B ) 
國立中興大學,應用數學系數據科學與計算組,項目：基本資料 ( A )、修課紀錄 ( B ) 
國立中興大學,機械工程學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( I、L )、學習歷程自述 ( N )、其他 ( Q.其他有利審查之資料 ) 
國立中興大學,土木工程學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E、F )、學習歷程自述 ( N )、其他 ( Q.有助審查之資料 ) 
國立中興大學,環境工程學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E )、學習歷程自述 ( N ) 
國立中興大學,化學工程學系,項目：基本資料 ( A )、修課紀錄 ( B )、學習歷程自述 ( O )、其他 ( Q.其他有利審查之資料 ) 
國立中興大學,材料科學與工程學系,項目：基本資料 ( A )、修課紀錄 ( B ) 
國立中興大學,智慧創意工程學士學位學程,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E、I )、學習歷程自述 ( N )、其他 ( Q.其他有利審查之資料 ) 
國立中興大學,電機工程學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E )、學習歷程自述 ( N )、其他 ( Q.其他有利審查之資料 ) 
國立中興大學,資訊科學與工程學系,項目：基本資料 ( A )、修課紀錄 ( B )、多元表現 ( E、L ) 
