,學校,系組,chinese_list,math_list,science_list,social_list,art_list,tech_list,all_list,health_list,total_list,paper_report_list,doing_work_list,science_work_list,social_work_list,a,b,c,d,e,f,g,h,x,y,z
0,中原大學,中原大學與美國天普大學商學管理雙學士學位學程,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,淡江大學,全球政治經濟學系全英語學士班,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,中國文化大學,全球商務學士學位學程,True,False,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
3,銘傳大學,金融科技應用學士學位學程（桃園校區）,True,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
4,國立高雄大學,金融管理學系,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,實踐大學,金融管理學系金融商品組(高雄校區),False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,實踐大學,金融管理學系金融實務組(高雄校區),False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,實踐大學,金融管理學系財務工程組(高雄校區),False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,實踐大學,金融管理學系數位金融組(高雄校區),False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,國立臺北大學,金融與合作經營學系,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
10,國立政治大學,金融學系,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,逢甲大學,美國加州聖荷西州立大學商學大數據分析雙學士學位學程,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
12,國立清華大學,計量財務金融學系,True,True,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13,國立政治大學,風險管理與保險學系,True,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14,淡江大學,風險管理與保險學系,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
15,逢甲大學,風險管理與保險學系,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,銘傳大學,風險管理與保險學系保險金融與行銷組（臺北校區）,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
17,銘傳大學,風險管理與保險學系風險管理組（臺北校區）,False,True,False,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
18,國立政治大學,財政學系,True,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,國立臺北大學,財政學系,True,True,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
20,東吳大學,財務工程與精算數學系,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,逢甲大學,財務工程與精算學士學位學程,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,靜宜大學,財務工程學系,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,靜宜大學,財務工程學系,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,義守大學,財務金融管理學系,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
25,國立中興大學,財務金融學系,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
26,中原大學,財務金融學系,True,True,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
27,東海大學,財務金融學系,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,淡江大學,財務金融學系,True,True,False,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
29,逢甲大學,財務金融學系,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
30,國立中央大學,財務金融學系,True,True,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
31,國立屏東大學,財務金融學系,True,True,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
32,國立中正大學,財務金融學系,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,世新大學,財務金融學系,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
34,長榮大學,財務金融學系,True,False,False,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
35,國立暨南國際大學,財務金融學系,True,True,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
