,學校,系組,chinese_list,math_list,science_list,social_list,art_list,tech_list,all_list,health_list,total_list,paper_report_list,doing_work_list,science_work_list,social_work_list,a,b,c,d,e,f,g,h,x,y,z
0,國立成功大學,工業設計學系,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,東海大學,工業設計學系,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,大同大學,工業設計學系,True,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,長庚大學,工業設計學系,True,False,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
4,大葉大學,工業設計學系,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,國立高雄大學,工藝與創意設計學系,False,False,False,True,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
6,國立臺灣藝術大學,古蹟藝術修護學系,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,長榮大學,台灣文化創意產業學士學位學程,True,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8,國立政治大學,地政學系土地資源規劃組,True,True,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,中原大學,地景建築學系,False,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
10,國立臺灣藝術大學,多媒體動畫藝術學系,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11,亞洲大學,行動商務與多媒體應用學系多媒體應用組,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12,亞洲大學,行動商務與多媒體應用學系行動商務組,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13,實踐大學,服飾設計與經營學系(高雄校區),False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14,實踐大學,服飾設計與經營學系美術組(高雄校區),True,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15,大葉大學,空間設計學系建築組,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,臺北市立大學,城市發展學系,True,False,False,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
17,中原大學,室內設計學系,True,False,False,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
18,亞洲大學,室內設計學系住宅空間組,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
19,亞洲大學,室內設計學系商業空間組,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
20,亞洲大學,室內設計學系智慧空間組,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
21,中國文化大學,建築及都市設計學系,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
22,逢甲大學,建築專業學院學士班,True,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
23,中華大學,建築與都市計畫學系（第一類組）,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
24,中華大學,建築與都市計畫學系（第二類組）,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
25,南華大學,建築與景觀學系自然組,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26,南華大學,建築與景觀學系社會組,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
27,國立成功大學,建築學系,True,True,True,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
