,學校,系組,chinese_list,math_list,science_list,social_list,art_list,tech_list,all_list,health_list,total_list,paper_report_list,doing_work_list,science_work_list,social_work_list,a,b,c,d,e,f,g,h,x,y,z
0,逢甲大學,人工智慧技術與應用學士學位學程,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1,真理大學,人文與資訊學系一般組,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,真理大學,人文與資訊學系文化行銷組,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,真理大學,人文與資訊學系數位應用組,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,中國文化大學,土地資源學系,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,長榮大學,土地管理與開發學系,True,False,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
6,逢甲大學,土地管理學系,True,True,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
7,長庚大學,工商管理學系,True,True,True,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
8,元智大學,工程學院英語學士班,True,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9,國立清華大學,工業工程與工程管理學系,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
10,逢甲大學,工業工程與系統管理學系,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,東海大學,工業工程與經營資訊學系(智慧設計與生產),False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,東海大學,工業工程與經營資訊學系(智慧經營與管理),True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,國立陽明交通大學,工業工程與管理學系,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
14,元智大學,工業工程與管理學系,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,國立金門大學,工業工程與管理學系,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,真理大學,工業管理與經營資訊學系,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,中華大學,工業管理學系（乙組）,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,中華大學,工業管理學系（甲組）,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,中原大學,工業與系統工程學系工程組,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
20,中原大學,工業與系統工程學系管理組,True,True,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
21,國立屏東大學,不動產經營學系,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,國立臺北大學,不動產與城鄉環境學系,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
23,中原大學,中原大學與美國天普大學商學管理雙學士學位學程,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
24,中華大學,中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程,True,True,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
25,國立臺北大學,公共行政暨政策學系,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
26,國立暨南國際大學,公共行政與政策學系,True,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27,國立政治大學,公共行政學系,True,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
28,國立東華大學,公共行政學系,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
