nan,667
英文,298
國文,245
數學A,204
自然,157
數學B,102
社會,33
國英數A自,25
英數A自,24
國英數B,18
國英數A,17
英數A,10
國社,9
國英,6
國英自,5
英數B,5
國英數B自,4
國數B,4
國英社,2
國英數B社,2
國數A,2
英聽,2
國自,2
國英數A社,1
英數B自,1
