subject_id,count
nan,828
瓣ゅ,334
璣ゅ,291
穦,181
计厩B,147
计厩A,55
礛,20
瓣璣计B,18
瓣璣计B,12
瓣,12
瓣璣计A,7
瓣璣,7
瓣璣,7
璣钮,6
瓣璣计A,6
璣计B,5
瓣计B,4
瓣璣计A,3
璣,2
璣计B,1
瓣璣,1
计B,1
璣计A,1
璣计A,1
