subject_id,count
nan,347
國文,124
英文,87
社會,45
數學B,22
數學A,18
自然,13
國英社,9
國社,8
國英,6
國英數B,6
英聽,3
國英數A自,3
國英數A,3
國英數B社,3
國英自,2
--,1
國英數A社,1
英社,1
國自,1
國數B社自,1
英數A,1
