subject_id,count
nan,86
英文,57
國文,47
自然,44
數學A,41
社會,16
國英數A自,9
數學B,8
英數A自,3
英聽,2
國英自,2
數A自,1
英數A社,1
國英社,1
國英數A,1
國英,1
