subject_id,count
nan,271
英文,186
國文,168
自然,156
數學A,117
國英數A自,29
社會,21
數學B,17
英數A自,7
國英,5
國英自,4
英聽,4
國英數A,2
國數A自,1
國英數B,1
國數A社自,1
英數A社自,1
英社,1
國社,1
國英社,1
國自,1
