subject_id,count
nan,380
國文,135
英文,105
社會,39
數學B,15
數學A,10
國英社,7
自然,6
國英,5
英聽,4
國英數B社,4
--,2
國英數B,2
國英數A自,2
國社,2
國英自,1
英數A,1
