college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select
中原大學,中原大學與美國天普大學商學管理雙學士學位學程,國文,均標,5.0,英文,均標,6.0,,,,,,,,,,*1.00,*2.00,,,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、面試二、學測英文級分三、審查資料四、學測國文級分,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、G、K、L、N)、學習歷程自述(O、Q)、其他(R.國際交流經驗) ,一、學測國文、英文之級分總和　二、學測英文級分
中國文化大學,全球商務學士學位學程,國文,--,--,英文,後標,3,數學A,底標,--,數學B,底標,--,社會,--,--,*1.00,*2.00,--,--,*1.00,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測國文級分三、學測國英社級分總和四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(G、H、L、M、N) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分
淡江大學,全球政治經濟學系全英語學士班,國文,--,--,英文,均標,3,社會,--,--,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測英文級分二、審查資料三、面試四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和
國立政治大學,創新國際學院學士班,國文,均標,--,英文,前標,3.5,社會,前標,--,英聽,A級,--,,,,*1.00,*2.00,*1.50,--,,40%,審查資料,--,40%,中英文面試,--,30%,,,,,,,,,,一、審查資料二、中英文面試三、學測英文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q)、其他(R.小論文) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測社會級分　四、學測國文級分
國立臺灣大學,國際企業學系,國文,--,--,英文,頂標,2.5,數學A,頂標,--,社會,--,--,國英數A社,--,3.5,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,口試,--,30%,,,,,,,,,,一、口試二、審查資料三、學測國英數A社級分總和四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、L、N)、學習歷程自述(Q)、其他(R.本系個人資料表、S.其他有利資料) ,一、學測國文、英文、數學A、社會之級分總和　二、學測數學A級分　三、學測國文級分
靜宜大學,國際企業學系,國文,--,3,英文,底標,--,,,,,,,,,,*1.00,*1.50,,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測國文級分二、學測英文級分三、面試四、審查資料,項目：修課紀錄(A)、多元表現(F、N)、學習歷程自述(O)、其他(R.其他有利審查資料) ,一、學測國文、英文之級分總和　二、學測英文級分　三、學測國文級分
國立臺中教育大學,國際企業學系,國文,均標,--,英文,均標,6,數學B,--,10,社會,--,--,國英數B,--,3,*1.00,*1.25,*1.00,*1.00,--,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測國文級分
國立東華大學,國際企業學系,國文,--,3.0,英文,均標,6.0,數學B,均標,4.0,,,,,,,*1.00,*2.00,*1.50,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、面試四、學測國英數B級分總和,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分
國立暨南國際大學,國際企業學系,英文,--,10.0,數學B,均標,3.0,,,,,,,,,,*2.00,*1.50,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學B之級分總和
開南大學,國際企業學系,社會,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試二、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q) ,一、學測社會級分
長榮大學,國際企業學系商務管理組,國文,底標,15.0,社會,--,4.5,,,,,,,,,,*1.00,*1.00,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、學測國文級分二、面試三、學測社會級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查之資料) ,一、學測國文、社會之級分總和　二、學測國文級分
